DIRECTOR,COMPANY, PERCENTAGE OF SHARES
A RAZAK RAMLI,HONG LEONG BANK BHD,
A RAZAK RAMLI,LAFARGE M BHD,
A RAZAK RAMLI,SHANGRI LA HOTELS M BHD,
AB HALIM MOHYIDDIN,DIGI DOT COM BHD,
AB HALIM MOHYIDDIN,PETRONAS GAS BHD,
ABD HAPIZ ABDULLAH,PETRONAS CHEMICALS GROUP BHD,
ABD MALIK A RAHMAN,AFFIN HOLDINGS BHD,
ABD MANAF HASHIM,TENAGA NASIONAL BHD,
ABDEL AZIZ ABU BAKAR,AIRASIA BHD,0.01
ABDUL AZEEZ ABDUL RAHIM,TABUNG HAJI,
ABDUL AZIZ HASAN,HAP SENG CONSOLIDATED BHD,
ABDUL AZIZ ISHAK,DAYANG ENTERPRISE HOLDINGS BHD,0.03
ABDUL AZIZ OMAR,PUBLIC BANK BHD,0.002
ABDUL AZIZ OMAR ,LPI CAPITAL BHD,0.29
ABDUL AZIZ SALIM,GAMUDA BHD,
ABDUL FARID ALIAS,MAYBANK BANKING BHD,
ABDUL GHANI ABDULLAH,GENTING PLANTATIONS BHD,
ABDUL GHANI OTHMAN,SIME DARBY BHD,
ABDUL HALIM ALI,IJM CORPORATION BHD,
ABDUL HALIM ALI,MALAYSIA BUILDING SOCIETY BHD,0.003
ABDUL HAMID SH MOHAMED,MMC CORPORATION BHD,
ABDUL HAMID SH MOHAMED,POS MALAYSIA BHD,
ABDUL KADIR MOHD DEEN,MEDIA PRIMA BHD,
ABDUL RAHIM ABU BAKAR,TELEKOM M BHD,
ABDUL RAHIM ABU BAKAR,WESTPORTS M SDN BHD,0.03
ABDUL RAHIM ADBUL HAMID,AEON COMPANY M BHD,
ABDUL RAHIM DIN,BERJAYA CORPORATION BHD,0.0008
ABDUL RAHMAN AHMAD,AXIATA GROUP BHD,
ABDUL RAHMAN AHMAD,FELDA GLOBAL VENTURES HOLDINGS BHD,
ABDUL RAHMAN MAMAT,PARKSON HOLDINGS BHD,
ABDUL RAHMAN MOHD RAMLI,DRB HICOM BHD,
ABDUL RAHMAN MOHD RAMLI,KUALA LUMPUR KEPONG BHD,
ABDULLAH MOHD YUSOF,AEON COMPANY M BHD,0.15
ABDULLAH MOHD YUSOF,MMC CORPORATION BHD,
ABU BAKAR SULEIMAN,IHH HEALTHCARE BHD,0.04
ABU TALIB OTHMAN,IGB CORPORATION BHD,0.1
ADBUL SAMAD ALIAS,BURSA MALAYSIA,
ADNAN PAWANTEH,NESTLE M BHD,
ADRIAN BRIAN LAM,GAMUDA BHD,0.004
ADRIAN DAVID LI MAN KIU,AFFIN HOLDINGS BHD,
AFIFUDDIN ABDUL KADIR,UMW OIL AND GAS CORPORATION BHD,
AFWIDA A MALEK,GAMUDA BHD,
AHAMAD MOHAMAD,KPJ HEALTHCARE BHD,0.01
AHAMAD MOHAMAD,KULIM M BHD,
AHMAD ABD TALIB,MEDIA PRIMA BHD,0.01
AHMAD ALWEE ALSREE,CAHYA MATA SARAWAK BHD,
AHMAD FAZLI ABU BAKAR,AEON COMPANY M BHD,
AHMAD FUAAD MOHD DAHALAN,HONG LEONG CAPITAL BHD,
AHMAD FUAAD MOHD KENALI,POS MALAYSIA BHD,
AHMAD JAUHARI YAHYA,MALAYSIAN AIRLINE SYSTEM BHD,
AHMAD JOHARI ADBUL RAZAK,BRITISH AMERICAN TOBACCO M BHD,
AHMAD MOHD DON,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
AHMAD RITHAUDDEEN ISMAIL,ORIENTAL HOLDINGS BHD,
AHMAD RIZA BASIR,PPB GROUP BHD,
AHMAD RIZA BASIR,UNITED PLANTATIONS BHD,0.03
AHMAD SARJI ABDUL HAMID,PNB,
AHMAD SHAHIZAM MOHD SHARIFF,IHH HEALTHCARE BHD,0.02
AHMAD SUFIAN ABDUL RASHID,PPB GROUP BHD,
